date,Continent,Country,alpha2code,cases_pr100000,cases_increasing,totalpop_cat,totalpop,vaccinated_pr100_cat,vaccinated_pr100,deaths,cases,temperature,population_density,median_age,aged_70_older,gdp_per_capita,extreme_poverty,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index
3/20/2020,Europe,Andorra,AD,25.84202,1,1,69654,1,0,0,18,268.8740357038542,163.755,,,,,7.97,29,37.8,,83.73,.868
3/27/2020,Europe,Andorra,AD,43.07003,0,1,69654,1,0,1,30,265.7111213126122,163.755,,,,,7.97,29,37.8,,83.73,.868
4/3/2020,Europe,Andorra,AD,33.020359,0,1,69654,1,0,2,23,269.4364118293182,163.755,,,,,7.97,29,37.8,,83.73,.868
4/10/2020,Europe,Andorra,AD,25.84202,0,1,69654,1,0,1,18,273.4823547038188,163.755,,,,,7.97,29,37.8,,83.73,.868
4/17/2020,Europe,Andorra,AD,14.356677,0,1,69654,1,0,1,10,276.5399759164285,163.755,,,,,7.97,29,37.8,,83.73,.868
4/24/2020,Europe,Andorra,AD,4.307003,0,1,69654,1,0,1,3,277.1025309027478,163.755,,,,,7.97,29,37.8,,83.73,.868
10/16/2020,Europe,Andorra,AD,139.25977,0,1,69654,1,0,1,97,269.4983982525736,163.755,,,,,7.97,29,37.8,,83.73,.868
10/23/2020,Europe,Andorra,AD,139.25977,1,1,69654,1,0,1,97,276.019277217691,163.755,,,,,7.97,29,37.8,,83.73,.868
10/30/2020,Europe,Andorra,AD,155.05211,1,1,69654,1,0,1,108,271.4305379854793,163.755,,,,,7.97,29,37.8,,83.73,.868
11/6/2020,Europe,Andorra,AD,111.98209,0,1,69654,1,0,0,78,275.3685537831099,163.755,,,,,7.97,29,37.8,,83.73,.868
1/8/2021,Europe,Andorra,AD,84.704399,0,1,69654,1,0,1,59,257.1798080767238,163.755,,,,,7.97,29,37.8,,83.73,.868
1/29/2021,Europe,Andorra,AD,66.040718,0,1,69654,2,.72,1,46,274.8839743818448,163.755,,,,,7.97,29,37.8,,83.73,.868
3/20/2020,Asia,United Arab Emirates (the),AE,.15271819,1,2,9822013,1,0,0,15,286.39136418036,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
4/3/2020,Asia,United Arab Emirates (the),AE,1.9649739,1,2,9822013,1,0,1,193,277.0266491484424,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
4/10/2020,Asia,United Arab Emirates (the),AE,3.3598001,1,2,9822013,1,0,2,330,275.688666978238,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
4/17/2020,Asia,United Arab Emirates (the),AE,4.398284,1,2,9822013,1,0,3,432,288.8668049023549,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
4/24/2020,Asia,United Arab Emirates (the),AE,5.0397,1,2,9822013,1,0,5,495,281.8047788636823,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
5/1/2020,Asia,United Arab Emirates (the),AE,5.5894856,1,2,9822013,1,0,8,549,286.5945565875374,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
5/8/2020,Asia,United Arab Emirates (the),AE,6.098546,1,2,9822013,1,0,9,599,281.2688537898718,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
5/15/2020,Asia,United Arab Emirates (the),AE,7.7071776,1,2,9822013,1,0,3,757,282.3196016127003,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
5/22/2020,Asia,United Arab Emirates (the),AE,8.6947556,0,2,9822013,1,0,3,854,278.8409447166911,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
5/29/2020,Asia,United Arab Emirates (the),AE,7.2082982,0,2,9822013,1,0,3,708,283.9287981719577,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
6/5/2020,Asia,United Arab Emirates (the),AE,6.0272775,0,2,9822013,1,0,2,592,287.6235568422898,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
6/12/2020,Asia,United Arab Emirates (the),AE,4.8971629,0,2,9822013,1,0,2,481,283.1815134930407,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
6/19/2020,Asia,United Arab Emirates (the),AE,3.8790419,1,2,9822013,1,0,2,381,293.8644131386577,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
6/26/2020,Asia,United Arab Emirates (the),AE,4.3575587,1,2,9822013,1,0,2,428,293.2258974211541,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
7/3/2020,Asia,United Arab Emirates (the),AE,5.3553176,0,2,9822013,1,0,1,526,292.6969025771687,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
7/10/2020,Asia,United Arab Emirates (the),AE,4.561183,0,2,9822013,1,0,1,448,285.5243291375211,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
7/17/2020,Asia,United Arab Emirates (the),AE,2.9932764,0,2,9822013,1,0,1,294,290.3737084716713,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
7/31/2020,Asia,United Arab Emirates (the),AE,2.922008,0,2,9822013,1,0,1,287,287.649110932472,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
8/7/2020,Asia,United Arab Emirates (the),AE,2.2704103,1,2,9822013,1,0,1,223,289.5084531722463,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
8/14/2020,Asia,United Arab Emirates (the),AE,2.7896521,1,2,9822013,1,0,1,274,292.4942060256074,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
8/21/2020,Asia,United Arab Emirates (the),AE,3.9197667,0,2,9822013,1,0,1,385,292.2094563585255,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
8/28/2020,Asia,United Arab Emirates (the),AE,4.2353845,1,2,9822013,1,0,1,416,290.8424964055066,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
9/4/2020,Asia,United Arab Emirates (the),AE,6.4956136,1,2,9822013,1,0,1,638,281.2741718253699,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
9/11/2020,Asia,United Arab Emirates (the),AE,7.9922519,0,2,9822013,1,0,1,785,284.5307349165081,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
9/18/2020,Asia,United Arab Emirates (the),AE,8.1246071,1,2,9822013,1,0,1,798,276.3676361227729,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
9/25/2020,Asia,United Arab Emirates (the),AE,9.6925144,1,2,9822013,1,0,1,952,279.080049410189,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
10/2/2020,Asia,United Arab Emirates (the),AE,10.680092,1,2,9822013,1,0,2,1049,278.1590076289465,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
10/9/2020,Asia,United Arab Emirates (the),AE,11.209515,1,2,9822013,1,0,3,1101,286.8024536984927,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
10/16/2020,Asia,United Arab Emirates (the),AE,13.663187,1,2,9822013,1,0,2,1342,271.0374830957033,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
10/23/2020,Asia,United Arab Emirates (the),AE,13.69373,0,2,9822013,1,0,2,1345,280.3215119819106,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
10/30/2020,Asia,United Arab Emirates (the),AE,12.665428,0,2,9822013,1,0,3,1244,276.1323234032743,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
11/6/2020,Asia,United Arab Emirates (the),AE,11.973105,0,2,9822013,1,0,3,1176,280.6365521524421,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
11/13/2020,Asia,United Arab Emirates (the),AE,12.024012,1,2,9822013,1,0,2,1181,285.2327310637178,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
11/20/2020,Asia,United Arab Emirates (the),AE,12.59416,1,2,9822013,1,0,3,1237,287.5659998897104,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
11/27/2020,Asia,United Arab Emirates (the),AE,12.726516,0,2,9822013,1,0,3,1250,281.0803491660764,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
12/4/2020,Asia,United Arab Emirates (the),AE,12.583979,0,2,9822013,1,0,3,1236,291.7285377990454,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
12/11/2020,Asia,United Arab Emirates (the),AE,12.410898,1,2,9822013,1,0,3,1219,281.0237325662658,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
12/18/2020,Asia,United Arab Emirates (the),AE,12.471985,0,2,9822013,1,0,3,1225,281.608376659788,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
12/25/2020,Asia,United Arab Emirates (the),AE,12.981046,1,2,9822013,1,0,3,1275,284.1395965772463,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
1/1/2021,Asia,United Arab Emirates (the),AE,22.653198,1,2,9822013,1,0,4,2225,283.0045595693095,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
1/8/2021,Asia,United Arab Emirates (the),AE,29.077543,1,2,9822013,1,0,5,2856,270.8643948063545,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
1/15/2021,Asia,United Arab Emirates (the),AE,35.00301,1,2,9822013,2,8.859999999999999,6,3438,284.2500260762262,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
1/22/2021,Asia,United Arab Emirates (the),AE,37.110519,1,2,9822013,2,8.859999999999999,8,3645,282.9131754929358,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
1/29/2021,Asia,United Arab Emirates (the),AE,33.862713,0,2,9822013,2,8.859999999999999,10,3326,279.1773557666888,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
2/5/2021,Asia,United Arab Emirates (the),AE,32.528973,0,2,9822013,2,8.859999999999999,13,3195,279.1246766083511,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
2/12/2021,Asia,United Arab Emirates (the),AE,34.249599,1,2,9822013,2,8.859999999999999,17,3364,285.3761474594374,112.442,34,.526,67293.48299999999,,17.26,1.2,37.4,1.2,77.97,.89
